id,kode,nama,path,perm_name,disabled,created,create_uid
1,"home","Beranda","/","''",0,"2015-03-08 16:45:45",1
2,"login","Masuk","/login","''",0,"2015-03-08 16:45:45",1
3,"logout","Logout","/logout","red",0,"2015-03-08 16:45:45",1
4,"password","Ubah password","/password","red",0,"2015-03-08 16:45:45",1
5,"forbidden","Forbidden","/forbidden","red",0,"2015-03-08 16:45:45",1
6,"user","Users","/user","red",0,"2015-03-08 16:45:45",1
7,"user-act","Baca User ","/user/{act}/act","red",0,"2015-03-08 16:45:45",1
8,"user-add","Tambah user","/user/add","red",0,"2015-03-08 16:45:45",1
9,"user-edit","Edit user","/user/{id}/edit","red",0,"2015-03-08 16:45:45",1
10,"user-delete","Hapus user","/user/{id}/delete","red",0,"2015-03-08 16:45:45",1
11,"group","Group","/group","red",0,"2015-03-08 16:45:45",1
12,"group-add","Tambah Group","/group/add","red",0,"2015-03-08 16:45:45",1
13,"group-act","Baca Group","/group/{act}/act","red",0,"2015-03-08 16:45:45",1
14,"group-edit","Edit Group","/group/{id}/edit","red",0,"2015-03-08 16:45:45",1
15,"group-delete","Hapus Group","/group/{id}/delete","red",0,"2015-03-08 16:45:45",1
16,"user-group","User Group","/user/group","red",0,"2015-03-08 16:45:45",1
17,"user-group-act","User Group Action","/user/group/{act}/act","red",0,"2015-03-08 16:45:45",1
18,"user-group-add","Tambah User Group","/user/group/add","red",0,"2015-03-08 16:45:45",1
19,"user-group-edit","Edit User Group","/user/group/{id}/{id2}/edit","red",0,"2015-03-08 16:45:45",1
20,"user-group-delete","Hapus User Group","/user/group/{id}/{id2}/delete","red",0,"2015-03-08 16:45:45",1
21,"groupperm","Group Permission","/groupperm","red",0,"2015-03-08 16:45:45",1
22,"groupperm-act","Group Permission Action","/groupperm/{act}/act","red",0,"2015-03-08 16:45:45",1
23,"groupperm-add","Tambah Group Permission","/groupperm/add","red",0,"2015-03-08 16:45:45",1
24,"groupperm-delete","Hapus Group Permission","/groupperm/{id}/{id2}/delete","red",0,"2015-03-08 16:45:45",1
25,"routes","Route","/routes","red",0,"2015-03-08 16:45:45",1
26,"routes-act","Route Action","/routes/{act}/act","red",0,"2015-03-08 16:45:45",1
27,"routes-add","Tambah Group Route","/routes/add","red",0,"2015-03-08 16:45:45",1
28,"routes-delete","Hapus Group Route","/routes/{id}/delete","red",0,"2015-03-08 16:45:45",1
29,"routes-edit","Edit Group Route","/routes/{id}/edit","red",0,"2015-03-08 16:45:45",1
30,"group-routes","Group Route","/group/routes","red",0,"2015-03-08 16:45:45",1
31,"group-routes-act","Group Route Action","/group/routes/{act}/act","red",0,"2015-03-08 16:45:45",1
32,"group-routes-add","Tambah Group Route","/group/routes/add","red",0,"2015-03-08 16:45:45",1
33,"group-routes-delete","Hapus Group Route","/group/routes/{id}/{id2}/delete","red",0,"2015-03-08 16:45:45",1
34,"app","Aplication","/app","''",0,"2015-03-08 16:45:45",1
35,"app-act","Aplication","/app/{act}/act","''",0,"2015-03-08 16:45:45",1
36,"app-add","Aplication","/app/add","''",0,"2015-03-08 16:45:45",1
37,"app-edit","Aplication","/app/{id}/edit","''",0,"2015-03-08 16:45:45",1
38,"app-delete","Aplication","/app/{id}/delete","''",0,"2015-03-08 16:45:45",1
39,"change-act","Change Act","/change/{act}/act","''",0,"2015-03-08 16:45:45",1
40,"admin","Admin","/admin","red",0,"2015-03-08 16:45:45",1
41,"main","MAIN","/main","red",0,"2015-03-08 16:45:45",1
50,"urusan","Urusan","/urusan","''",0,"2015-03-08 16:45:45",1
51,"urusan-act","Urusan Act","/urusan/{act}/act","''",0,"2015-03-08 16:45:45",1
52,"urusan-add","Urusan Add","/urusan/add","''",0,"2015-03-08 16:45:45",1
53,"urusan-edit","Urusan Edit","/urusan/{id}/edit","''",0,"2015-03-08 16:45:45",1
54,"urusan-delete","Urusan Delete","/urusan/{id}/delete","''",0,"2015-03-08 16:45:45",1
55,"unit","Aplication","/unit","''",0,"2015-03-08 16:45:45",1
56,"unit-act","Aplication","/unit/{act}/act","''",0,"2015-03-08 16:45:45",1
57,"unit-add","Aplication","/unit/add","''",0,"2015-03-08 16:45:45",1
58,"unit-edit","Aplication","/unit/{id}/edit","''",0,"2015-03-08 16:45:45",1
59,"unit-delete","Aplication","/unit/{id}/delete","''",0,"2015-03-08 16:45:45",1
60,"user-unit","User unit","/user/unit","red",0,"2015-03-08 16:45:45",1
61,"user-unit-act","User unit Action","/user/unit/{act}/act","red",0,"2015-03-08 16:45:45",1
62,"user-unit-add","Tambah User unit","/user/unit/add","red",0,"2015-03-08 16:45:45",1
63,"user-unit-edit","Edit User unit","/user/unit/{id}/edit","red",0,"2015-03-08 16:45:45",1
64,"user-unit-delete","Hapus User unit","/user/unit/{id}/delete","red",0,"2015-03-08 16:45:45",1
65,"user-csv","User CSV","/user/csv","''",0,"2015-03-08 16:45:45",1
66,"routes-csv","Routes CSV","/routes/csv","''",0,"2015-03-08 16:45:45",1
67,"group-csv","Group CSV","/group/csv","''",0,"2015-03-08 16:45:45",1
68,"group-routes-csv","Group Routes CSV","/group/routes/csv","''",0,"2015-03-08 16:45:45",1
69,"app-csv","Aplication CSV","/app/csv","''",0,"2015-03-08 16:45:45",1
